"1","1","A habitat designed to float like a balloon in a planet’s upper atmosphere.","Aerostat: A habitat designed to float like a balloon in aplanet’s upper atmosphere.","Aerostat","Sylphs","Extrasolar"
"1","1","After the Fall (used for reference dating).","AF: After the Fall (used for reference dating).","AF","Scorchers","Smart Animals"
"1","1","Artificial General Intelligence. An AI that has cognitive faculties comparable to that of a human or higher.Also known as “strong AI” (differentiating from more specialized “weak AI”). See also “seed AI.”","AGI: Artificial General Intelligence. An AI that has cognitive faculties comparable to that of a human or higher. Also known as “strong AI” (differentiating from more specialized “weak AI”). See also “seed AI.”","AGI","Egocasting","Singularity Seeker"
"1","1","Artificial Intelligence. Generally used to refer to weakAIs; i.e., AIs that do not encompass (or in some cases, are completely outside of) the full range of human cognitive abilities. AIs differ from AGIs in that they are usually specialized and/or intentionally crippled/limited.","AI: Artificial Intelligence. Generally used to refer to weakAIs; i.e., AIs that do not encompass (or in some cases, are completely outside of) the full range of human cognitive abilities. AIs differ from AGIs in that they are usually specialized and/or intentionally crippled/limited.","AI","Re-instantiated","Vapor"
"1","1","Someone who believes government is unnecessary, that power corrupts, and that people should control their own lives through self-organized individual and collective action.","Anarchist: Someone who believes government is unnecessary, that power corrupts, and that people should control their own lives through self-organized individual and collective action.","Anarchist","Async","Smart Animals"
"1","1","A spider-like robotic synthmorph.","Arachnoid: A spider-like robotic synthmorph.","Arachnoid","Sleight","AU"
"1","1","A faction of techno-progressive scientists that promote responsible and ethical use of technology.","Argonauts: A faction of techno-progressive scientists that promote responsible and ethical use of technology.","Argonauts","Chimeric","Vapor"
"1","1","Augmented Reality. Information from the mesh (universal data network) that is overlaid on your real-world senses. AR data is usually entoptic (visual), but can also be audio, tactile, olfactory, kinesthetic (body awareness),emotional, or other types of input.","AR: Augmented Reality. Information from the mesh (universal data network) that is overlaid on your real-world senses. AR data is usually entoptic (visual), but can also be audio, tactile, olfactory, kinesthetic (body awareness),emotional, or other types of input.","AR","Mist","Trojans"
"1","1","A person with psi abilities.","Async: A person with psi abilities.","Async","Smart Animals","Lifelog"
"1","1","Astronomical Unit. The distance between the Earth and the Sun, equal to 8.3 light minutes, or about 150 million kilometers.","AU: Astronomical Unit. The distance between the Earth and the Sun, equal to 8.3 light minutes, or about 150 million kilometers.","AU","Splicers","Reclaimers"
"1","1","The alliance of anarchists, Barsoomians, Extropians, scum, and Titanians.","Autonomists: The alliance of anarchists, Barsoomians, Extropians, scum, and Titanians.","Autonomists","Mercurials","Splicers"
"1","1","A rural Martian, typically resentful of hypercorp control.","Barsoomian: A rural Martian, typically resentful of hypercorp control.","Barsoomian","O’Neill Cylinder","Forking"
"1","1","An image or other sensory input that affects the brain’s visual cortex and pattern recognition abilities in such a way as to cause a glitch and possibly exploit it and rewrite neural code.","Basilisk Hack: An image or other sensory input that affects the brain’s visual cortex and pattern recognition abilities in such a way as to cause a glitch and possibly exploit it and rewrite neural code.","Basilisk Hack","Bots","BF"
"1","1","A microgravity habitat made from a tunneled out asteroid or moon.","Beehive: A microgravity habitat made from a tunneled out asteroid or moon.","Beehive","AF","Forking"
"1","1","Before the Fall (used for reference dating).","BF: Before the Fall (used for reference dating).","BF","Teleoperation","Pods"
"1","1","An anti-technology movement that arguesfor strict regulation of nanofabrication, AI, uploading, forking,cognitive enhancements, and other disruptive technologies.","Bioconservative: An anti-technology movement that argues for strict regulation of nanofabrication, AI, uploading, forking,cognitive enhancements, and other disruptive technologies.","Bioconservative","Farcasting","Trojans"
"1","1","A biological body, whether a flat, splicer,genetically engineered transhuman, or pod.","Biomorph: A biological body, whether a flat, splicer,genetically engineered transhuman, or pod.","Biomorph","Mist","Ghost"
"1","1","A service for leasing, selling, acquiring, or storing a morph. AKA dollhouse, morgue.","Body Bank: A service for leasing, selling, acquiring, or storing a morph. AKA dollhouse, morgue.","Body Bank","Fury","Lifelog"
"1","1","Robots. AI-piloted synthetic shells.","Bots: Robots. AI-piloted synthetic shells.","Bots","Spime","Mercurials"
"1","1","A type of autonomous monitoring deep space probe meant to make contact with alien civilizations.","Bracewell Probe: A type of autonomous monitoring deep space probe meant to make contact with alien civilizations.","Bracewell Probe","Exoplanet","Nanobot"
"1","1","Exiles who live on the fringes of the system, aswell as other isolated and well-hidden nooks and crannies.Also called isolates, fringers, drifters.","Brinkers: Exiles who live on the fringes of the system, as well as other isolated and well-hidden nooks and crannies.Also called isolates, fringers, drifters.","Brinkers","Exalts","Lagrange Point"
"1","1","A cheap, common, mass-produced synthetic shell.","Case: A cheap, common, mass-produced synthetic shell.","Case","Factors","Swarmanoid"
"1","1","Transgenic, containing genetic traits from other species.","Chimeric: Transgenic, containing genetic traits from other species.","Chimeric","Fury","BF"
"1","1","Orbiting Jupiter.","Circumjovian: Orbiting Jupiter.","Circumjovian","Autonomists","FTL"
"1","1","Orbiting the Moon.","Circumlunar: Orbiting the Moon.","Circumlunar","BF","Redneck"
"1","1","Orbiting the Sun.","Circumsolar: Orbiting the Sun.","Circumsolar","Slitheroid","Cole Bubble"
"1","1","Between the Earth and the Moon.","Cislunar: Between the Earth and the Moon.","Cislunar","Entoptics","Flats"
"1","1","A species or group of organisms with commonfeatures. Used to refer to transhuman subspecies andmorph types.","Clade: A species or group of organisms with commonfeatures. Used to refer to transhuman subspecies andmorph types.","Clade","Lost Generation","TITANs"
"1","1","A habitat made from a hollowed-out asteroidor moon, spun for gravity.","Cole Bubble: A habitat made from a hollowed-out asteroidor moon, spun for gravity.","Cole Bubble","Lagrange Point","Skin"
"1","1","A general-purpose nanofabricator.","Cornucopia Machine: A general-purpose nanofabricator.","Cornucopia Machine","XP","ETI"
"1","1","An implanted memory cell used for egobackup. Located where the spine meets the skull; can be cut out.","Cortical Stack: An implanted memory cell used for egobackup. Located where the spine meets the skull; can be cut out.","Cortical Stack","Morph","Torus"
"1","1","An artificial brain, housing an ego run in asoftware brain-state. Used in both synthmorphs and pods.","Cyberbrain: An artificial brain, housing an ego run in asoftware brain-state. Used in both synthmorphs and pods.","Cyberbrain","Kuiper Belt","Arachnoid"
"1","1","Illegal and black market farcasting and egocastingservices.","Darkcast: Illegal and black market farcasting and egocastingservices.","Darkcast","Re-instantiated","Chimeric"
"1","1","The rules that govern the reality of avirtual reality simulspace.","Domain Rules: The rules that govern the reality of avirtual reality simulspace.","Domain Rules","Farhauler","Neogenesis"
"1","1","A robot controlled through teleoperation (rather than directly via onboard AI).","Drone: A robot controlled through teleoperation (rather than directly via onboard AI).","Drone","Shell","Cyberbrain"
"1","1","Personal mesh devices that are flexible, stretchable,self-cleaning, translucent, and solar-powered. From ectolink (external link).","Ecto: Personal mesh devices that are flexible, stretchable,self-cleaning, translucent, and solar-powered. From ectolink (external link).","Ecto","Autonomists","AR"
"1","1","The part of you that switches from body to body.AKA ghost, soul, essence, spirit, persona.","Ego: The part of you that switches from body to body.AKA ghost, soul, essence, spirit, persona.","Ego","Iktomi","Cole Bubble"
"1","1","Term for sending egos via farcasting.","Egocasting: Term for sending egos via farcasting.","Egocasting","Proxies","Redneck"
"1","1","Augmented-reality images that you “see” inyour head. (“Entoptic” means “within the eye.”)","Entoptics: Augmented-reality images that you “see” inyour head. (“Entoptic” means “within the eye.”)","Entoptics","Infolife","Case"
"1","1","Extraterrestial Intelligence. The term Firewall uses to refer to the god-like post-singularity alien intelligencetheorized to be responsible for the Exsurgent virus.","ETI: Extraterrestial Intelligence. The term Firewall uses to refer to the god-like post-singularity alien intelligencetheorized to be responsible for the Exsurgent virus.","ETI","Seed AI","Nano-Ecology"
"1","1","Genetically enhanced humans (between genefixedand transhumans). AKA genefreaks, ascended, elevated.","Exalts: Genetically enhanced humans (between genefixedand transhumans). AKA genefreaks, ascended, elevated.","Exalts","Neo-Avians","Autonomists"
"1","1","A planet in another solar system.","Exoplanet: A planet in another solar system.","Exoplanet","Meme","Vapor"
"1","1","Someone infected by the Exsurgent virus.","Exsurgent: Someone infected by the Exsurgent virus.","Exsurgent","Gatecrashers","AF"
"1","1","The multi-vector virus created byan unknown ETI and seeded throughout the galaxy in Bracewell probes. The Exsurgent virus is self-morphing and can in fect both computer systems and biological creatures.","Exsurgent Virus: The multi-vector virus created by an unknown ETI and seeded throughout the galaxy in Bracewell probes. The Exsurgent virus is self-morphing and can infect both computer systems and biological creatures.","Exsurgent Virus","Torus","Pandora Gates"
"1","1","Outside the solar system.","Extrasolar: Outside the solar system.","Extrasolar","Seed AI","Flatlander"
"1","1","The alien ambassadorial race that deals with transhumanity. Also called Brokers.","Factors: The alien ambassadorial race that deals with transhumanity. Also called Brokers.","Factors","Nanoswarm","Rusters"
"1","1","The apocalypse; the singularity and wars thatnearly brought about the downfall of transhumanity.","The Fall: The apocalypse; the singularity and wars thatnearly brought about the downfall of transhumanity.","The Fall","Sylphs","AI"
"1","1","Intrasolar communication utilizing classical communication technologies (radio, laser, etc.) andquantum teleportation.","Farcasting: Intrasolar communication utilizing classicalcommunication technologies (radio, laser, etc.) andquantum teleportation.","Farcasting","Spime","Cortical Stack"
"1","1","Long-distance space shipper.","Farhauler: Long-distance space shipper.","Farhauler","Lifelog","Proxies"
"1","1","The secret cross-faction conspiracy that worksto protect transhumanity from “existential threats” (risks to transhumanity’s continued existence).","Firewall: The secret cross-faction conspiracy that worksto protect transhumanity from “existential threats” (risks to transhumanity’s continued existence).","Firewall","Flats","Iktomi"
"1","1","Someone born or used to living on a planet or moon with gravity.","Flatlander: Someone born or used to living on a planet or moon with gravity.","Flatlander","Bots","The Fall"
"1","1","Baseline humans (not genetically modified). Also called norms.","Flats: Baseline humans (not genetically modified). Also called norms.","Flats","Zeroes","Darkcast"
"1","1","A shape-changing synthmorph capable of joining together with other flexbots in a modular fashion to create larger shapes.","Flexbot: A shape-changing synthmorph capable of joining together with other flexbots in a modular fashion to create larger shapes.","Flexbot","Flats","Cortical Stack"
"1","1","Copying an ego. Not all forks are full copies.AKA backups.","Forking: Copying an ego. Not all forks are full copies.AKA backups.","Forking","Cole Bubble","Biomorph"
"1","1","Kidnapping a backup or fork.","Forknapping: Kidnapping a backup or fork.","Forknapping","Circumjovian","Rusters"
"1","1","Faster-Than-Light.","FTL: Faster-Than-Light.","FTL","Scorchers","Re-instantiated"
"1","1","A transhuman combat morph.","Fury: A transhuman combat morph.","Fury","Iktomi","Resleeving"
"1","1","Explorers who take their chances using aPandora gate to go somewhere previously unexplored.","Gatecrashers: Explorers who take their chances using aPandora gate to go somewhere previously unexplored.","Gatecrashers","Rusters","Lifelog"
"1","1","Someone who manipulates genetic code tocreate genetic modifications or even new life.","Genehacker: Someone who manipulates genetic code tocreate genetic modifications or even new life.","Genehacker","Smart Animals","Reclaimers"
"1","1","A transhuman combat morph optimized forstealth and infiltration.","Ghost: A transhuman combat morph optimized forstealth and infiltration.","Ghost","Resleeving","Redneck"
"1","1","The act of carrying an infomorph in a special implant module inside your head.","Ghost-riding: The act of carrying an infomorph in a special implant module inside your head.","Ghost-riding","Muse","AU" 
"1","1","Trojan asteroids or moons that share the same orbit as a larger planet or moon, but are 60 degrees ahead in the orbit at the L4 Lagrange point. The termGreeks normally refers to the asteroids orbiting around Jupiter’s L4 point. See also “Trojans.”","Greeks: Trojan asteroids or moons that share the same orbit as a larger planet or moon, but are 60 degrees ahead in the orbit at the L4 Lagrange point. The term Greeks normally refers to the asteroids orbiting around Jupiter’s L4 point. See also “Trojans.”","Greeks","Flatlander","Brinkers"
"1","1","A habitat technician.","Habtech: A habitat technician.","Habtech","Anarchist","Zeroes"
"1","1","A transhuman modified for hibernation, forextensive travel in space.","Hibernoid: A transhuman modified for hibernation, forextensive travel in space.","Hibernoid","Mesh ID","Extrasolar"
"1","1","An asteroid made from mostly ice rather thanrock or metals.","Iceteroid: An asteroid made from mostly ice rather thanrock or metals.","Iceteroid","Morph","Simulmorph"
"1","1","The name given to the mysterious alien racewhose relics have been found beyond the Pandora gates.","Iktomi: The name given to the mysterious alien racewhose relics have been found beyond the Pandora gates.","Iktomi","Domain Rules","Scum"
"1","1","Indentured servants who have contractedtheir labor to a hypercorp or other authority, usually inexchange for a morph.","Indentures: Indentured servants who have contractedtheir labor to a hypercorp or other authority, usually inexchange for a morph.","Indentures","Rusters","Bracewell Probe"
"1","1","Artificial general intelligences and seed AIs.","Infolife: Artificial general intelligences and seed AIs.","Infolife","Proxies","Uplifting"
"1","1","A digitized ego; a virtual body. Also knownas datamorphs, uploads, backups.","Infomorph: A digitized ego; a virtual body. Also knownas datamorphs, uploads, backups.","Infomorph","Reclaimers","Farcasting"
"1","1","“Infomorph refugee,” or someone who lefteverything behind on Earth during the Fall—even theirown body.","Infugee: “Infomorph refugee,” or someone who lefteverything behind on Earth during the Fall—even theirown body.","Infugee","The Fall","Chimeric"
"1","1","Those who live in isolated communities faroutside the system (in the Kuiper Belt and Oort Cloud).AKA outsters, fringers.","Isolates: Those who live in isolated communities faroutside the system (in the Kuiper Belt and Oort Cloud).AKA outsters, fringers.","Isolates","Body Bank","XP"
"1","1","The act of “becoming” a teleoperated dronethanks to XP technology. Also sometimes applied toaccesing the real-time XP feed from lifeloggers and others.","Jamming: The act of “becoming” a teleoperated dronethanks to XP technology. Also sometimes applied toaccesing the real-time XP feed from lifeloggers and others.","Jamming","Clade","Ego"
"1","1","A region of space extending from Neptune’sorbit out to about 55 AU, lightly populated with asteroids,comets, and dwarf planets.","Kuiper Belt: A region of space extending from Neptune’sorbit out to about 55 AU, lightly populated with asteroids,comets, and dwarf planets.","Kuiper Belt","Exsurgent Virus","Ecto"
"1","1","One of five areas in respect to asmall planetary body orbiting a larger one in which thegravitational forces of those two bodies are neutralized.Lagrange points are considered stable and ideal locationsfor habitats.","Lagrange Point: One of five areas in respect to asmall planetary body orbiting a larger one in which thegravitational forces of those two bodies are neutralized.Lagrange points are considered stable and ideal locationsfor habitats.","Lagrange Point","Flats","Drone"
"1","1","A recording of one’s entire life experience, madepossible due to near-unlimited computer memory.","Lifelog: A recording of one’s entire life experience, madepossible due to near-unlimited computer memory.","Lifelog","Kuiper Belt","Nanobot"
"1","1","In an effort to repopulate post-Fall, ageneration of children were reared using forced-growthmethods. The results were disastrous","Lost Generation: In an effort to repopulate post-Fall, ageneration of children were reared using forced-growthmethods. The results were disastrous","Lost Generation","Prometheans","Ecto"
"1","1","The main asteroid belt, a torus ring orbitingbetween Mars and Jupiter.","Main Belt: The main asteroid belt, a torus ring orbitingbetween Mars and Jupiter.","Main Belt","VR","Oort Cloud"
"1","1","A viral idea. A unit of information transmittedsocially that self-replicates and mutates in a manneranalagous to genes.","Meme: A viral idea. A unit of information transmittedsocially that self-replicates and mutates in a manneranalagous to genes.","Meme","Greeks","Psi"
"1","1","Transhumans optimized for mental and cognitiveability.","Mentons: Transhumans optimized for mental and cognitiveability.","Mentons","Entoptics","Main Belt"
"1","1","The non-human sapient elements of thetranshuman “family,” including AGIs and uplifted animals.","Mercurials: The non-human sapient elements of thetranshuman “family,” including AGIs and uplifted animals.","Mercurials","Farcasting","Flats"
"1","1","The omnipresent wireless mesh data network.Also used as a verb (to mesh) and adjective (meshedor unmeshed).","Mesh: The omnipresent wireless mesh data network.Also used as a verb (to mesh) and adjective (meshedor unmeshed).","Mesh","Indentures","Skin"
"1","1","The unique signature attached to one’s meshactivity.","Mesh ID: The unique signature attached to one’s meshactivity.","Mesh ID","Meme","Neogenesis"
"1","1","Zero-g or near weightless environments.","Microgravity: Zero-g or near weightless environments.","Microgravity","Neogenesis","Simulmorph"
"1","1","The clouds of AR data that sometimes fog up yourperception/displays.","Mist: The clouds of AR data that sometimes fog up yourperception/displays.","Mist","Flexbot","Novacrab"
"1","1","A physical body. AKA suit, jacket, sleeve, shell, form.","Morph: A physical body. AKA suit, jacket, sleeve, shell, form.","Morph","Mentons","AR"
"1","1","Personal AI helper programs.","Muse: Personal AI helper programs.","Muse","Cornucopia Machine","Brinkers"
"1","1","A nano-scale machine.","Nanobot: A nano-scale machine.","Nanobot","ETI","Vapor"
"1","1","Pro-tech ecological movement.","Nano-Ecology: Pro-tech ecological movement.","Nano-Ecology","Oort Cloud","Scorchers"
"1","1","A mass of tiny nanobots unleashed intoan environment.","Nanoswarm: A mass of tiny nanobots unleashed intoan environment.","Nanoswarm","Chimeric","Mist"
"1","1","Uplifted ravens and gray parrots.","Neo-Avians: Uplifted ravens and gray parrots.","Neo-Avians","FTL","Circumjovian"
"1","1","The creation of new life forms via geneticmanipulation and biotechnology.","Neogenesis: The creation of new life forms via geneticmanipulation and biotechnology.","Neogenesis","Olympian","Neotenics"
"1","1","Uplifted chimpanzees, gorillas, andorangutans.","Neo-Hominids: Uplifted chimpanzees, gorillas, andorangutans.","Neo-Hominids","Xer","O’Neill Cylinder"
"1","1","Transhumans modified to retain a child-likeform.","Neotenics: Transhumans modified to retain a child-likeform.","Neotenics","Nanobot","Genehacker"
"1","1","A pod created from genetically engineeredspider crab stock.","Novacrab: A pod created from genetically engineeredspider crab stock.","Novacrab","Basilisk Hack","Aerostat"
"1","1","A transhuman biomorph modified for athleticismand endurance.","Olympian: A transhuman biomorph modified for athleticismand endurance.","Olympian","Main Belt","Gatecrashers"
"1","1","A soda-can shaped habitat, spun forgravity.","O’Neill Cylinder: A soda-can shaped habitat, spun forgravity.","O’Neill Cylinder","Teleoperation","Torus"
"1","1","The spherical “cloud” of comets that surroundsthe solar system out to about one light-year fromthe sun.","Oort Cloud: The spherical “cloud” of comets that surroundsthe solar system out to about one light-year fromthe sun.","Oort Cloud","Scum","Cyberbrain"
"1","1","Personal Area Network. The network created whenyou slave all of your minor personal electronics to yourecto or mesh inserts.","PAN: Personal Area Network. The network created whenyou slave all of your minor personal electronics to yourecto or mesh inserts.","PAN","Mentons","Simulspace"
"1","1","The wormhole gateways discoveredafter the disappearance of the TITANs.","Pandora Gates: The wormhole gateways discoveredafter the disappearance of the TITANs.","Pandora Gates","Transhuman","Shell"
"1","1","Mixed biological-synthetic morphs. Pod clonesare force-grown and feature cyberbrains. Also known asbiobots, skinjobs, replicants. From “pod people.”","Pods: Mixed biological-synthetic morphs. Pod clonesare force-grown and feature cyberbrains. Also known asbiobots, skinjobs, replicants. From “pod people.”","Pods","Microgravity","Cislunar"
"1","1","A human or transhuman individual orspecies that has been genetically or cognitively modifiedso extensively as to no longer be human (a step beyondtranshuman). AKA parahuman.","Posthuman: A human or transhuman individual orspecies that has been genetically or cognitively modifiedso extensively as to no longer be human (a step beyondtranshuman). AKA parahuman.","Posthuman","Neotenics","Domain Rules"
"1","1","A group of transhuman-friendly seed AIsthat were created by the Lifeboat Project (precursors tothe argonauts) years before the TITANs became selfawareand that (mostly) avoided Exsurgent infection. ThePrometheans secretly back Firewall and work to defeatexistential threats.","Prometheans: A group of transhuman-friendly seed AIsthat were created by the Lifeboat Project (precursors tothe argonauts) years before the TITANs became selfawareand that (mostly) avoided Exsurgent infection. ThePrometheans secretly back Firewall and work to defeatexistential threats.","Prometheans","Pods","Psi"
"1","1","Members of the Firewall internal structure.","Proxies: Members of the Firewall internal structure.","Proxies","Teleoperation","AU"
"1","1","Parapsychological powers acquired due to infectionby the Watts-MacLeod strain of Exsurgent virus.","Psi: Parapsychological powers acquired due to infectionby the Watts-MacLeod strain of Exsurgent virus.","Psi","Zeroes","VPNs"
"1","1","A warbot synthmorph.","Reaper: A warbot synthmorph.","Reaper","Hibernoid","Oort Cloud"
"1","1","A transhuman faction that seeks to lift theinterdiction and reclaim Earth.","Reclaimers: A transhuman faction that seeks to lift theinterdiction and reclaim Earth.","Reclaimers","Arachnoid","Teleoperation"
"1","1","A rural Martian. See Barsoomian. AKA Reds.","Redneck: A rural Martian. See Barsoomian. AKA Reds.","Redneck","Ecto","Iceteroid"
"1","1","Refugees from Earth who escapedonly as bodiless infomorphs, but who have sincebeen resleeved.","Re-instantiated: Refugees from Earth who escapedonly as bodiless infomorphs, but who have sincebeen resleeved.","Re-instantiated","Main Belt","ETI"
"1","1","Changing bodies or downloading into anew one. Also called remorphing, reincarnation, shifting,rebirthing.","Resleeving: Changing bodies or downloading into anew one. Also called remorphing, reincarnation, shifting,rebirthing.","Resleeving","X-Risk","Vapor"
"1","1","Biomorphs optimized for life on Mars.","Rusters: Biomorphs optimized for life on Mars.","Rusters","Mesh","Circumsolar"
"1","1","Hostile programs that can damage or affectcyberbrains.","Scorchers: Hostile programs that can damage or affectcyberbrains.","Scorchers","Xer","Chimeric"
"1","1","The nomadic faction of space punks/gypsiesthat travel from station to station in heavily modifiedbarges or swarms of ships. Notorious for being aroving black market.","Scum: The nomadic faction of space punks/gypsiesthat travel from station to station in heavily modifiedbarges or swarms of ships. Notorious for being aroving black market.","Scum","Chimeric","Kuiper Belt"
"1","1","An AGI that is capable of recursive self-improvement,allowing it to reach god-like levels of intelligence.","Seed AI: An AGI that is capable of recursive self-improvement,allowing it to reach god-like levels of intelligence.","Seed AI","Teleoperation","Cortical Stack"
"1","1","Agents of Firewall.","Sentinels: Agents of Firewall.","Sentinels","Slitheroid","Mesh"
"1","1","A synthetic physical morph. AKA synthmorph.","Shell: A synthetic physical morph. AKA synthmorph.","Shell","Neo-Avians","Mesh"
"1","1","The avatar you use in VR simulspaceprograms.","Simulmorph: The avatar you use in VR simulspaceprograms.","Simulmorph","Shell","Jamming"
"1","1","Full-immersion virtual reality environments.","Simulspace: Full-immersion virtual reality environments.","Simulspace","Sleight","Infugee"
"1","1","A point of rapid, exponential, and recursivetechnological progress, beyond which the future becomesimpossible to predict. Often used to refer to the ascensionof seed AI to god-like levels of intelligence.","Singularity: A point of rapid, exponential, and recursivetechnological progress, beyond which the future becomesimpossible to predict. Often used to refer to the ascensionof seed AI to god-like levels of intelligence.","Singularity","Seed AI","Nanoswarm"
"1","1","People who pursue relics andevidence of the TITANs or other possible avenues tosuper-intelligence, either to learn more about it or tobecome part of a super-intelligence themselves.","Singularity Seeker: People who pursue relics andevidence of the TITANs or other possible avenues tosuper-intelligence, either to learn more about it or tobecome part of a super-intelligence themselves.","Singularity Seeker","Cole Bubble","Biomorph"
"1","1","A biological physical morph. AKA meat, flesh.","Skin: A biological physical morph. AKA meat, flesh.","Skin","Posthuman","Seed AI"
"1","1","Changing your perceived environment viaaugmented reality programming.","Skinning: Changing your perceived environment viaaugmented reality programming.","Skinning","Prometheans","Splicers"
"1","1","A psi power.","Sleight: A psi power.","Sleight","Neo-Hominids","Ecto"
"1","1","A snake-like robotic synthmorph.","Slitheroid: A snake-like robotic synthmorph.","Slitheroid","Hibernoid","Exsurgent Virus"
"1","1","Partially uplifted animal species (includingdogs, cats, and rats). Some other large smart animals(elephants) are nearly extinct.","Smart Animals: Partially uplifted animal species (includingdogs, cats, and rats). Some other large smart animals(elephants) are nearly extinct.","Smart Animals","Mesh","Lost Generation"
"1","1","Meshed, self-aware, location-aware devices.","Spime: Meshed, self-aware, location-aware devices.","Spime","The Fall","Jamming"
"1","1","Humans that are genetically modified to eliminategenetic diseases and some other traits. Also knownas genefixed, cleangenes, tweaks.","Splicers: Humans that are genetically modified to eliminategenetic diseases and some other traits. Also knownas genefixed, cleangenes, tweaks.","Splicers","Proxies","Neotenics"
"1","1","A synthetic morph composed from aswarm of tiny insect-sized robots.","Swarmanoid: A synthetic morph composed from aswarm of tiny insect-sized robots.","Swarmanoid","Infugee","Shell"
"1","1","Transhuman biomorphs with exotic good looks.","Sylphs: Transhuman biomorphs with exotic good looks.","Sylphs","Infomorph","Re-instantiated"
"1","1","Synthetic morphs. Robotic shells possessedby transhuman egos.","Synthmorph: Synthetic morphs. Robotic shells possessedby transhuman egos.","Synthmorph","Basilisk Hack","AGI"
"1","1","A specific type of synthmorph. Synths are standardandroids/gynoids; robots that are designed to lookhumanoid, though they are usually noticeably not human.","Synths: A specific type of synthmorph. Synths are standardandroids/gynoids; robots that are designed to lookhumanoid, though they are usually noticeably not human.","Synths","AR","Teleoperation"
"1","1","Remote control.","Teleoperation: Remote control.","Teleoperation","Splicers","BF"
"1","1","Someone from Titan, a moon of Saturn.","Titanian: Someone from Titan, a moon of Saturn.","Titanian","Singularity","Neogenesis"
"1","1","The human-created, recursively improving, militaryseed AIs that underwent a hard-takeoff singularityand prompted the Fall. Original military designation wasTITAN","TITANs: The human-created, recursively improving, militaryseed AIs that underwent a hard-takeoff singularityand prompted the Fall. Original military designation wasTITAN","TITANs","Factors","Reaper"
"1","1","A donut-shaped habitat, spun for gravity.","Torus: A donut-shaped habitat, spun for gravity.","Torus","AI","Autonomists"
"1","1","Containing genetic traits from other species.","Transgenic: Containing genetic traits from other species.","Transgenic","Kuiper Belt","Transhuman"
"1","1","An extensively modified human.","Transhuman: An extensively modified human.","Transhuman","Factors","Synthmorph"
"1","1","Asteroids or moons that share the same orbitas a larger planet or moon, but follow about 60 degreesahead or behind at the L4 and L5 Lagrange points. Theterm Trojans normally refers to the asteroids orbiting atJupiter’s Lagrange points, but Mars, Saturn, Neptune, andother bodies also have Trojans. See also “Greeks.”","Trojans: Asteroids or moons that share the same orbitas a larger planet or moon, but follow about 60 degreesahead or behind at the L4 and L5 Lagrange points. Theterm Trojans normally refers to the asteroids orbiting atJupiter’s Lagrange points, but Mars, Saturn, Neptune, andother bodies also have Trojans. See also “Greeks.”","Trojans","Simulmorph","Scorchers"
"1","1","Genetically transforming an animal species tosapience.","Uplifting: Genetically transforming an animal species tosapience.","Uplifting","Mercurials","Nanoswarm"
"1","1","Space laborer.","Vacworker: Space laborer.","Vacworker","Cortical Stack","Bioconservative"
"1","1","A failed mind emulation or crippled fork/infomorph(from vaporware).","Vapor: A failed mind emulation or crippled fork/infomorph(from vaporware).","Vapor","Sleight","Lifelog"
"1","1","Virtual Private Networks. Networks that operatewithin the mesh, usually encrypted for privacy/security.","VPNs: Virtual Private Networks. Networks that operatewithin the mesh, usually encrypted for privacy/security.","VPNs","Meme","Entoptics"
"1","1","Virtual Reality. Imposing an artificially constructedhyper-real reality over one’s physical senses.","VR: Virtual Reality. Imposing an artificially constructedhyper-real reality over one’s physical senses.","VR","Lagrange Point","X-Caster"
"1","1","Someone who transmits/sells XP recordings oftheir experiences.","X-Caster: Someone who transmits/sells XP recordings oftheir experiences.","X-Caster","Uplifting","Pods"
"1","1","Alien life form.","Xenomorph: Alien life form.","Xenomorph","Sentinels","Cortical Stack"
"1","1","As in “X-er”—someone addicted or obsessed withXP. Sometime also used to refer to people making XP.","Xer: As in “X-er”—someone addicted or obsessed withXP. Sometime also used to refer to people making XP.","Xer","Kuiper Belt","Autonomists"
"1","1","Experience Playback. Experiencing someone else’ssensory input (in real-time or recorded). Also calledexperia, sim, simsense, playback.","XP: Experience Playback. Experiencing someone else’ssensory input (in real-time or recorded). Also calledexperia, sim, simsense, playback.","XP","Infugee","Flatlander"
"1","1","Existential Risk. Something that threatens thevery existence of transhumanity.","X-Risk: Existential Risk. Something that threatens thevery existence of transhumanity.","X-Risk","Vapor","Cole Bubble"
"1","1","People without wireless mesh access. Commonwith some indentures.","Zeroes: People without wireless mesh access. Commonwith some indentures.","Zeroes","Ghost-riding","Skin"
